Cleaned_Comment,Predicted_Sentiment
watching today,POSITIVE
sa donated the cup to india these sa players cannot break the shackles of a choker tag,NEGATIVE
i am crying,NEGATIVE
uff the commentary is at its best,POSITIVE
forever india,POSITIVE
one of the most memorable final match ever,POSITIVE
epic final catch amp match ever,POSITIVE
what to typei dont know hoping for the champions trophy now,NEGATIVE
came back to see that catch by surya,POSITIVE
tears do not stop after seeing this,POSITIVE
pure cinema period,POSITIVE
a moment never to be forgotten team india played so well thank you hardik,POSITIVE
i am happy india won the world cup but i feel very much sad for south africa and especially heinrich klaasen,NEGATIVE
pant ne jo break liya vo best tha then india comback,POSITIVE
this is not a movement this is imotion,NEGATIVE
we won bt feeling for south africa i pray to god that they should win wtc finalpls god one to them pls god,POSITIVE
im english but no one will ever be able to persuade me south africa didnt choked this rather than india brilliance,NEGATIVE
what about editing hats off,NEGATIVE
klasan you r brilliant player,POSITIVE
real stars,POSITIVE
cinema at its best,POSITIVE
i cried a lot on that day,NEGATIVE
hardik shubhkamnaye,NEGATIVE
coolest moment,POSITIVE
indian players main in final hardiksuryabumrah,POSITIVE
pakistani yo ka maa ka yaar hai my india,NEGATIVE
hardik pandya such a characterhow mentally touch he is,POSITIVE
will always keep coming back and watching this world cup victory always makes my day a little more better,POSITIVE
goosebumps every time i watch this,POSITIVE
when rohit digged the indian flag,POSITIVE
we can clearly see the emotion of hardik while bowling the last ballhe started runup by crying,NEGATIVE
everytime i watch this i literally feel goosebumps i still remember that day i was sitting in the same pose on my sofa what an intense match it was it was rp who broke the rhythm of klassen and then hardik pandya did the rest job,POSITIVE
its time of champions trophy edit icc,NEGATIVE
fact this is not your first time seeing this,NEGATIVE
we need same moment icc champion trophy,NEGATIVE
the match was not less than a thriller script,POSITIVE
nagaur rajasthan se kon kon dekh rha h,POSITIVE
ian bishop is the greatest commentator in cricketer,POSITIVE
anyone on champions trophy,POSITIVE
ankho me ansu ayatha match dekhkar,POSITIVE
lora,POSITIVE
kise ka dil juda toh kisa ka sil tuta,NEGATIVE
i rarely support indian team as im pakistan cricket team fan but my god this match i was team india all the way they really deserved it every inch of the success they deserved it,POSITIVE
hardik the clucth master,NEGATIVE
lets go india,POSITIVE
india will champion trophy,POSITIVE
shandaar match,POSITIVE
who saw surya catch live,POSITIVE
i only believe on jassi bhai he is a game changer player,POSITIVE
hope so india will repeat this in champion trophy also,POSITIVE
what a memory,POSITIVE
jetna baar dekho maan nahin bharta,NEGATIVE
